Issue Type,Issue Key,Summary,Epic Link,Description,Acceptance Criteria,Priority
Story,SOD-US-1000,Session create/join/reconnect story 1,SOD-EP01,"As a player/team, I want session create/join/reconnect to be reliable in scenario 1, so that co-op quality remains high.","Given scenario 1, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1001,Session create/join/reconnect story 2,SOD-EP01,"As a player/team, I want session create/join/reconnect to be reliable in scenario 2, so that co-op quality remains high.","Given scenario 2, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1002,Session create/join/reconnect story 3,SOD-EP01,"As a player/team, I want session create/join/reconnect to be reliable in scenario 3, so that co-op quality remains high.","Given scenario 3, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1003,Session create/join/reconnect story 4,SOD-EP01,"As a player/team, I want session create/join/reconnect to be reliable in scenario 4, so that co-op quality remains high.","Given scenario 4, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1004,Session create/join/reconnect story 5,SOD-EP01,"As a player/team, I want session create/join/reconnect to be reliable in scenario 5, so that co-op quality remains high.","Given scenario 5, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1005,Session create/join/reconnect story 6,SOD-EP01,"As a player/team, I want session create/join/reconnect to be reliable in scenario 6, so that co-op quality remains high.","Given scenario 6, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1006,Session create/join/reconnect story 7,SOD-EP01,"As a player/team, I want session create/join/reconnect to be reliable in scenario 7, so that co-op quality remains high.","Given scenario 7, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1007,Session create/join/reconnect story 8,SOD-EP01,"As a player/team, I want session create/join/reconnect to be reliable in scenario 8, so that co-op quality remains high.","Given scenario 8, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1008,Session create/join/reconnect story 9,SOD-EP01,"As a player/team, I want session create/join/reconnect to be reliable in scenario 9, so that co-op quality remains high.","Given scenario 9, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1009,Session create/join/reconnect story 10,SOD-EP01,"As a player/team, I want session create/join/reconnect to be reliable in scenario 10, so that co-op quality remains high.","Given scenario 10, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1010,Dynamic split-screen behavior story 1,SOD-EP01,"As a player/team, I want dynamic split-screen behavior to be reliable in scenario 1, so that co-op quality remains high.","Given scenario 1, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1011,Dynamic split-screen behavior story 2,SOD-EP01,"As a player/team, I want dynamic split-screen behavior to be reliable in scenario 2, so that co-op quality remains high.","Given scenario 2, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1012,Dynamic split-screen behavior story 3,SOD-EP01,"As a player/team, I want dynamic split-screen behavior to be reliable in scenario 3, so that co-op quality remains high.","Given scenario 3, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1013,Dynamic split-screen behavior story 4,SOD-EP01,"As a player/team, I want dynamic split-screen behavior to be reliable in scenario 4, so that co-op quality remains high.","Given scenario 4, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1014,Dynamic split-screen behavior story 5,SOD-EP01,"As a player/team, I want dynamic split-screen behavior to be reliable in scenario 5, so that co-op quality remains high.","Given scenario 5, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1015,Dynamic split-screen behavior story 6,SOD-EP01,"As a player/team, I want dynamic split-screen behavior to be reliable in scenario 6, so that co-op quality remains high.","Given scenario 6, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1016,Dynamic split-screen behavior story 7,SOD-EP01,"As a player/team, I want dynamic split-screen behavior to be reliable in scenario 7, so that co-op quality remains high.","Given scenario 7, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1017,Dynamic split-screen behavior story 8,SOD-EP01,"As a player/team, I want dynamic split-screen behavior to be reliable in scenario 8, so that co-op quality remains high.","Given scenario 8, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1018,Dynamic split-screen behavior story 9,SOD-EP01,"As a player/team, I want dynamic split-screen behavior to be reliable in scenario 9, so that co-op quality remains high.","Given scenario 9, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1019,Dynamic split-screen behavior story 10,SOD-EP01,"As a player/team, I want dynamic split-screen behavior to be reliable in scenario 10, so that co-op quality remains high.","Given scenario 10, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1020,Co-op ping and prompts story 1,SOD-EP01,"As a player/team, I want co-op ping and prompts to be reliable in scenario 1, so that co-op quality remains high.","Given scenario 1, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1021,Co-op ping and prompts story 2,SOD-EP01,"As a player/team, I want co-op ping and prompts to be reliable in scenario 2, so that co-op quality remains high.","Given scenario 2, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1022,Co-op ping and prompts story 3,SOD-EP01,"As a player/team, I want co-op ping and prompts to be reliable in scenario 3, so that co-op quality remains high.","Given scenario 3, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
Story,SOD-US-1023,Co-op ping and prompts story 4,SOD-EP01,"As a player/team, I want co-op ping and prompts to be reliable in scenario 4, so that co-op quality remains high.","Given scenario 4, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Medium
Story,SOD-US-1024,Co-op ping and prompts story 5,SOD-EP01,"As a player/team, I want co-op ping and prompts to be reliable in scenario 5, so that co-op quality remains high.","Given scenario 5, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",Highest
Story,SOD-US-1025,Co-op ping and prompts story 6,SOD-EP01,"As a player/team, I want co-op ping and prompts to be reliable in scenario 6, so that co-op quality remains high.","Given scenario 6, when players execute flow, then expected result is deterministic, readable, and logged in telemetry.",High
